Country,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Region
Kyrgyzstan,2011,4.921049118041992,7.979545593261719,0.8914040923118591,61.52000045776367,0.7478084564208984,-0.13301952183246613,0.932496964931488,Central and Eastern Europe
Kyrgyzstan,2012,5.207785606384277,7.962011337280273,0.8561817407608032,61.939998626708984,0.7027316689491272,-0.05728156492114067,0.8920367956161499,Central and Eastern Europe
Kyrgyzstan,2013,5.402426719665527,8.045762062072754,0.8507155179977417,62.36000061035156,0.7550366520881653,-0.06373503059148788,0.8995604515075684,Central and Eastern Europe
Kyrgyzstan,2014,5.252192974090576,8.065153121948242,0.8980247974395752,62.779998779296875,0.7362900972366333,0.3766530156135559,0.8967673778533936,Central and Eastern Europe
Kyrgyzstan,2015,4.905375957489014,8.082588195800781,0.8565845489501953,63.20000076293945,0.8131758570671082,0.22100010514259338,0.8577250242233276,Central and Eastern Europe
Kyrgyzstan,2016,4.856534004211426,8.104660987854004,0.9143754839897156,63.5,0.8139392137527466,0.07737331837415695,0.9169228076934814,Central and Eastern Europe
Kyrgyzstan,2017,5.6295366287231445,8.129609107971191,0.882586658000946,63.79999923706055,0.8593897819519043,0.1642557978630066,0.8744944930076599,Central and Eastern Europe
Kyrgyzstan,2018,5.2973833084106445,8.151305198669434,0.8981478214263916,64.0999984741211,0.9449476599693298,0.28773197531700134,0.9074053168296814,Central and Eastern Europe
Lithuania,2007,5.808284759521484,10.03140640258789,0.9407919645309448,63.47999954223633,0.5896623134613037,-0.28539538383483887,0.9663260579109192,Central and Eastern Europe
Lithuania,2008,5.55392599105835,10.067632675170898,0.9136674404144287,63.81999969482422,0.6210600733757019,-0.2631501257419586,0.960843026638031,Central and Eastern Europe
Lithuania,2009,5.466920852661133,9.918400764465332,0.932608962059021,64.16000366210938,0.49595579504966736,-0.306445837020874,0.9788001179695129,Central and Eastern Europe
Lithuania,2010,5.06582498550415,9.955636024475098,0.8818106055259705,64.5,0.5193522572517395,-0.2783479690551758,0.9621672034263611,Central and Eastern Europe
Lithuania,2011,5.432437419891357,10.036895751953125,0.9114112854003906,64.69999694824219,0.5657972693443298,-0.1516428291797638,0.9635116457939148,Central and Eastern Europe
Lithuania,2012,5.7710371017456055,10.087862968444824,0.9186901450157166,64.9000015258789,0.5030271410942078,-0.27709558606147766,0.9569592475891113,Central and Eastern Europe
Lithuania,2013,5.595689296722412,10.132370948791504,0.9125141501426697,65.0999984741211,0.5558152794837952,-0.24058979749679565,0.9363355040550232,Central and Eastern Europe
Lithuania,2014,6.125723838806152,10.17573356628418,0.9082398414611816,65.30000305175781,0.5079472064971924,-0.2675689458847046,0.9563478827476501,Central and Eastern Europe
Lithuania,2015,5.71137809753418,10.205284118652344,0.9285235404968262,65.5,0.641470193862915,-0.25785863399505615,0.9241740703582764,Central and Eastern Europe
Lithuania,2016,5.8655524253845215,10.241168975830078,0.937873363494873,66.0999984741211,0.6142393350601196,-0.27051690220832825,0.9493926763534546,Central and Eastern Europe
Lithuania,2017,6.272940635681152,10.292967796325684,0.9263166189193726,66.69999694824219,0.7493073344230652,-0.17764167487621307,0.7897098660469055,Central and Eastern Europe
Lithuania,2018,6.3088788986206055,10.33951187133789,0.9293501377105713,67.30000305175781,0.6989451050758362,-0.24097855389118195,0.851745069026947,Central and Eastern Europe
Mauritania,2007,4.149043083190918,8.145737648010254,0.6819090247154236,53.65999984741211,0.5728883743286133,-0.051370710134506226,0.5864505171775818,Sub-Saharan Africa
Mauritania,2008,4.248075008392334,8.128241539001465,0.6702526211738586,53.939998626708984,0.5932648777961731,0.0015300856903195381,0.8409475088119507,Sub-Saharan Africa
Mauritania,2009,4.500431537628174,8.08919906616211,0.8193337917327881,54.220001220703125,0.7350711822509766,0.05966128036379814,0.8482937812805176,Sub-Saharan Africa
Mauritania,2010,4.7723069190979,8.10680866241455,0.8565078377723694,54.5,0.6689305901527405,0.07391928881406784,0.7273644804954529,Sub-Saharan Africa
Mauritania,2011,4.784804344177246,8.123259544372559,0.7502765655517578,54.81999969482422,0.5669202208518982,0.07037901878356934,0.7469378709793091,Sub-Saharan Africa
Mauritania,2012,4.673203945159912,8.149764060974121,0.763332724571228,55.13999938964844,0.4873727560043335,-0.0037265068385750055,0.7070057988166809,Sub-Saharan Africa
Mauritania,2013,4.199015140533447,8.179065704345703,0.7411558032035828,55.459999084472656,0.6028002500534058,-0.06254512071609497,0.6755537390708923,Sub-Saharan Africa
Mauritania,2014,4.482805252075195,8.203957557678223,0.8527779579162598,55.779998779296875,0.4683181345462799,-0.03898391127586365,0.5894830822944641,Sub-Saharan Africa
Mauritania,2015,3.922664165496826,8.18913745880127,0.8749459385871887,56.099998474121094,0.4470865726470947,0.07341118156909943,0.7153584361076355,Sub-Saharan Africa
Mauritania,2016,4.47214937210083,8.180959701538086,0.7848268747329712,56.400001525878906,0.4665614664554596,-0.15745435655117035,0.8418351411819458,Sub-Saharan Africa
Mauritania,2017,4.678159713745117,8.188031196594238,0.77922523021698,56.70000076293945,0.5274468064308167,-0.13566626608371735,0.7773140668869019,Sub-Saharan Africa
Mauritania,2018,4.313615322113037,8.196549415588379,0.8015955090522766,57.0,0.46688854694366455,-0.09545145183801651,0.7105292677879333,Sub-Saharan Africa
Mexico,2007,6.525378227233887,9.703312873840332,0.8788056373596191,66.31999969482422,0.6704303622245789,-0.0979062095284462,0.7466810345649719,Latin America and Caribbean
Mexico,2008,6.829036235809326,9.698493003845215,0.8763278126716614,66.37999725341797,0.6774773001670837,-0.130766823887825,0.7848979234695435,Latin America and Caribbean
Mexico,2009,6.9628190994262695,9.628098487854004,0.8682207465171814,66.44000244140625,0.6824634075164795,-0.0787658542394638,0.7642255425453186,Latin America and Caribbean
Mexico,2010,6.802388668060303,9.662432670593262,0.8763896822929382,66.5,0.778120756149292,-0.051266860216856,0.6928918957710266,Latin America and Caribbean
Mexico,2011,6.909515380859375,9.683424949645996,0.8240640759468079,66.68000030517578,0.831368088722229,-0.10227562487125397,0.6975802183151245,Latin America and Caribbean
Mexico,2012,7.32018518447876,9.70470905303955,0.7672794461250305,66.86000061035156,0.7877683043479919,-0.09576045721769333,0.6332811117172241,Latin America and Caribbean
Mexico,2013,7.442546367645264,9.70412540435791,0.7591384053230286,67.04000091552734,0.7387166619300842,-0.1675553172826767,0.6147470474243164,Latin America and Caribbean
Mexico,2014,6.679831027984619,9.718518257141113,0.7819649577140808,67.22000122070312,0.7791329026222229,-0.0971064567565918,0.6298511624336243,Latin America and Caribbean
Mexico,2015,6.2362871170043945,9.737350463867188,0.760614275932312,67.4000015258789,0.719465970993042,-0.15454405546188354,0.7079719305038452,Latin America and Caribbean
Mexico,2016,6.8241729736328125,9.753050804138184,0.893492579460144,67.69999694824219,0.7516130805015564,-0.15587057173252106,0.8085794448852539,Latin America and Caribbean
Mexico,2017,6.410299301147461,9.760567665100098,0.7998393774032593,68.0,0.8614051342010498,-0.2042420655488968,0.8008930683135986,Latin America and Caribbean
Mexico,2018,6.549578666687012,9.769919395446777,0.8580688834190369,68.30000305175781,0.8162004947662354,-0.181818425655365,0.8086380958557129,Latin America and Caribbean
Moldova,2007,4.774918079376221,8.18552303314209,0.8041917085647583,60.7599983215332,0.6961949467658997,-0.1370028853416443,0.9295603632926941,Central and Eastern Europe
Moldova,2008,5.502756118774414,8.262534141540527,0.871552586555481,60.939998626708984,0.6406171321868896,-0.007285505998879671,0.9256637692451477,Central and Eastern Europe
Moldova,2009,5.5543742179870605,8.201921463012695,0.8558830618858337,61.119998931884766,0.5508586168289185,-0.05016281083226204,0.9250616431236267,Central and Eastern Europe
Moldova,2010,5.589736461639404,8.271512985229492,0.847094714641571,61.29999923706055,0.5984848141670227,-0.04005361348390579,0.9293094277381897,Central and Eastern Europe
Moldova,2011,5.792262554168701,8.337878227233887,0.8694135546684265,61.619998931884766,0.6280227899551392,-0.03425214812159538,0.9566443562507629,Central and Eastern Europe
Moldova,2012,5.995712757110596,8.330985069274902,0.8262197971343994,61.939998626708984,0.6024185419082642,-0.002011024858802557,0.9554845690727234,Central and Eastern Europe
Moldova,2013,5.756059169769287,8.421093940734863,0.802882969379425,62.2599983215332,0.6577342748641968,-0.021718887612223625,0.9406324028968811,Central and Eastern Europe
Moldova,2014,5.91705846786499,8.468586921691895,0.8049688339233398,62.58000183105469,0.6231862306594849,-0.06614448875188828,0.9248067140579224,Central and Eastern Europe
Moldova,2015,6.017472267150879,8.465222358703613,0.8399055004119873,62.900001525878906,0.5952414274215698,-0.042187757790088654,0.9431188106536865,Central and Eastern Europe
Moldova,2016,5.577784061431885,8.509845733642578,0.8373214602470398,63.599998474121094,0.5573694705963135,0.0007049056584946811,0.969482958316803,Central and Eastern Europe
Moldova,2017,5.325530529022217,8.554483413696289,0.8307679295539856,64.30000305175781,0.5528252124786377,-0.00362958200275898,0.9263337850570679,Central and Eastern Europe
Moldova,2018,5.682277202606201,8.592376708984375,0.8920798897743225,65.0,0.8238243460655212,-0.0336773544549942,0.9287198781967163,Central and Eastern Europe
Nepal,2007,4.748284339904785,7.473606109619141,0.7867076992988586,57.70000076293945,0.4133208394050598,0.3232046365737915,0.8908112645149231,Southern Asia
Nepal,2008,4.440526485443115,7.52295446395874,0.8176576495170593,58.20000076293945,0.6176047921180725,0.29701048135757446,0.9000287652015686,Southern Asia
Nepal,2009,4.916868209838867,7.557319164276123,0.8130678534507751,58.70000076293945,0.6161537766456604,0.05007557198405266,0.9497019648551941,Southern Asia
Nepal,2010,4.349675178527832,7.593867778778076,0.7790380716323853,59.20000076293945,0.5190626382827759,0.09840653091669083,0.910801887512207,Southern Asia
Nepal,2011,3.8094446659088135,7.616326808929443,0.7409793734550476,59.400001525878906,0.5247976779937744,-0.0022719409316778183,0.9345637559890747,Southern Asia
